Row,Anon Student Id,Age,Problem Hierarchy,question_id,Step Start Time,Step End Time,Correct First Attempt,Step Duration (sec),Answer Type,KC(Default),skill_id,Opportunity (Default),template_id
9,9,16+,1,6,15-07-2023 17:43,15-07-2023 17:44,1,34,Multiple Choice,Fractions,2,1,5
10,10,16+,1,6,15-07-2023 20:56,15-07-2023 20:58,1,60,Multiple Choice,Fractions,2,1,5
14,14,16+,1,6,17-07-2023 22:26,17-07-2023 22:27,0,45,Multiple Choice,Fractions,2,1,5
25,25,16+,1,6,23-07-2023 12:30,23-07-2023 12:32,0,120,Multiple Choice,Fractions,2,1,5
6,6,16+,2,10,15-07-2023 15:27,15-07-2023 15:29,1,60,Single Choice set,Algebra,1,1,6
7,7,16+,2,10,15-07-2023 15:42,15-07-2023 15:42,1,12,Single Choice set,Algebra,1,1,6
9,9,16+,2,10,15-07-2023 17:47,15-07-2023 17:47,0,23,Single Choice set,Algebra,1,1,6
10,10,16+,2,10,15-07-2023 21:04,15-07-2023 21:05,1,60,Single Choice set,Algebra,1,1,6
14,14,16+,2,10,17-07-2023 22:32,17-07-2023 22:32,1,5,Single Choice set,Algebra,1,1,6
25,25,16+,2,10,23-07-2023 12:37,23-07-2023 12:39,0,120,Single Choice set,Algebra,1,1,6
6,6,16+,2,10,15-07-2023 15:27,15-07-2023 15:29,1,60,Single Choice set,Fractions,2,1,6
7,7,16+,2,10,15-07-2023 15:42,15-07-2023 15:42,1,12,Single Choice set,Fractions,2,1,6
9,9,16+,2,10,15-07-2023 17:47,15-07-2023 17:47,0,23,Single Choice set,Fractions,2,1,6
10,10,16+,2,10,15-07-2023 21:04,15-07-2023 21:05,1,60,Single Choice set,Fractions,2,1,6
14,14,16+,2,10,17-07-2023 22:32,17-07-2023 22:32,1,5,Single Choice set,Fractions,2,1,6
25,25,16+,2,10,23-07-2023 12:37,23-07-2023 12:39,0,120,Single Choice set,Fractions,2,1,6
6,6,16+,1,1,15-07-2023 15:01,15-07-2023 15:01,1,50,Single Choice set,Geometry,3,1,6
7,7,16+,1,1,15-07-2023 15:39,15-07-2023 15:39,0,5,Single Choice set,Geometry,3,1,6
9,9,16+,1,1,15-07-2023 17:28,15-07-2023 17:33,1,240,Single Choice set,Geometry,3,1,6
10,10,16+,1,1,15-07-2023 19:57,15-07-2023 19:58,0,60,Single Choice set,Geometry,3,1,6
14,14,16+,1,1,17-07-2023 22:18,17-07-2023 22:19,0,49,Single Choice set,Geometry,3,1,6
25,25,16+,1,1,23-07-2023 12:10,23-07-2023 12:15,0,240,Single Choice set,Geometry,3,1,6
6,6,16+,2,10,15-07-2023 15:27,15-07-2023 15:29,1,60,Single Choice set,Numbers,4,1,6
7,7,16+,2,10,15-07-2023 15:42,15-07-2023 15:42,1,12,Single Choice set,Numbers,4,1,6
9,9,16+,2,10,15-07-2023 17:47,15-07-2023 17:47,0,23,Single Choice set,Numbers,4,1,6
10,10,16+,2,10,15-07-2023 21:04,15-07-2023 21:05,1,60,Single Choice set,Numbers,4,1,6
14,14,16+,2,10,17-07-2023 22:32,17-07-2023 22:32,1,5,Single Choice set,Numbers,4,1,6
25,25,16+,2,10,23-07-2023 12:37,23-07-2023 12:39,0,120,Single Choice set,Numbers,4,1,6
6,6,16+,2,9,15-07-2023 15:24,15-07-2023 15:27,0,120,Single Choice set,Numbers,4,1,6
7,7,16+,2,9,15-07-2023 15:42,15-07-2023 15:42,1,3,Single Choice set,Numbers,4,1,6
9,9,16+,2,9,15-07-2023 17:46,15-07-2023 17:47,1,38,Single Choice set,Numbers,4,1,6
10,10,16+,2,9,15-07-2023 21:25,15-07-2023 21:25,1,16,Single Choice set,Numbers,4,1,6
14,14,16+,2,9,17-07-2023 22:29,17-07-2023 22:29,0,13,Single Choice set,Numbers,4,1,6
25,25,16+,2,9,23-07-2023 12:35,23-07-2023 12:36,1,60,Single Choice set,Numbers,4,1,6
6,6,16+,2,9,15-07-2023 15:24,15-07-2023 15:27,0,120,Single Choice set,Percentages,5,1,6
7,7,16+,2,9,15-07-2023 15:42,15-07-2023 15:42,1,3,Single Choice set,Percentages,5,1,6
9,9,16+,2,9,15-07-2023 17:46,15-07-2023 17:47,1,38,Single Choice set,Percentages,5,1,6
10,10,16+,2,9,15-07-2023 21:25,15-07-2023 21:25,1,16,Single Choice set,Percentages,5,1,6
14,14,16+,2,9,17-07-2023 22:29,17-07-2023 22:29,0,13,Single Choice set,Percentages,5,1,6
25,25,16+,2,9,23-07-2023 12:35,23-07-2023 12:36,1,60,Single Choice set,Percentages,5,1,6
6,6,16+,2,9,15-07-2023 15:24,15-07-2023 15:27,0,120,Single Choice set,Ratio and Proportion,6,1,6
7,7,16+,2,9,15-07-2023 15:42,15-07-2023 15:42,1,3,Single Choice set,Ratio and Proportion,6,1,6
9,9,16+,2,9,15-07-2023 17:46,15-07-2023 17:47,1,38,Single Choice set,Ratio and Proportion,6,1,6
10,10,16+,2,9,15-07-2023 21:25,15-07-2023 21:25,1,16,Single Choice set,Ratio and Proportion,6,1,6
14,14,16+,2,9,17-07-2023 22:29,17-07-2023 22:29,0,13,Single Choice set,Ratio and Proportion,6,1,6
25,25,16+,2,9,23-07-2023 12:35,23-07-2023 12:36,1,60,Single Choice set,Ratio and Proportion,6,1,6
